aberration	аберрация, отклонение
shielded cable	экранированный кабель
shift	сдвиг
shift arm	рычаг сдвига
shift motor	двигатель сдвига
shift register	регистр сдвига, сдвиговый регистр
shim stock	прокладочный материал
shiny surface	глянцевая поверхность
shock	удар; ударная нагрузка, ударное воздействие
short circuit	короткозамкнутая схема (цепь)
short circuit relay	закороченное реле
short circuit thermistor	закороченный термистор
shutdown	остановка, выключение
shutter	затвор, шторка
side cover	боковая крышка
side one	сторона один, первая сторона
side registration	боковая регистрация, регистрация боковой стороны
side two	сторона два, вторая сторона
sight	зрение, вид
sign	знак, буква, символ, обозначение; признак; сигнал; ставить знак, отмечать
signal	сигнал
signal flow	путь прохождения сигнала
signal generation	генерация сигнала
signal line	линия прохождения сигнала
signal name	имя (название) сигнала
signal path	путь прохождения сигнала
signal state	состояние сигнала
significant wear	значительный износ
silicone compound	силиконовый компаунд
similar	аналогичный, подобный, схожий
simplex mode	режим одностороннего копирования, симплексный режим
single	единственный, один; отдельный, обособленный
single copy run	запуск на одну копию
single phase power	однофазное питание
single sheet mode	режим подачи одного листа
site	располагать
size-for-size copying	полноразмерное копирование, копирование в масштабе 1:1
skew	перекос; перекашивать; косой, перекошенный
skew grid	сетка перекоса (на контрольном листе)
skewed copy	перекошенная копия
skewed feed	подача с перекосом
skewing	перекос, снашивание
skid	направляющий рельс салазки
skip	пропуск, пробел
slide	скольжение; направляющая скольжения; скользящяя часть механизма, ползун; слайд; сдвигать, скользить
slide switch	ползунковый переключатель
slip clutch	муфта скольжения
slippage	проскальзывание, пробуксовка
slotted	щелевой; с прямоугольными прорезями, отверстиями; шлицованный; прорезанный;
smear	размазывание
smooth	гладкая (бумага, поверхность)
smooth screwdriver	гладкая отвертка
socket	гнездо, патрон
soft towel	мягкое полотенце, салфетка
software	программное обеспечение, программы
solder	припой; запаивать, паять
solder connection	паяное соединение
soldering	пайка
soldering iron	паяльник
solder joint	паяное соединение
solenoid	соленоид
solenoid linkage	рычажная связь соленоида
solid area	область сплошного изображения
sorter	сортер, сортировочное устройство
sorter bin	ячейка сортера
sorter jam	застревание в сортере
source of heat	источник тепла
space	пространство, область, зона; расстояние, промежуток, зазор; шаг письма (пишущей машинки); пробел; размещать с интервалом или промежутком
spacer	прокладка; промежуточное кольцо; распорная деталь, распорка
spacing washer	промежуточная шайба
spare	запасной; запасная часть
special paper size	нестандартные (специальные) размеры бумаги
specifications	технические характеристики, спецификации
spot	пятно
spring	пружина
spring bracket	пружинный кронштейн
spring clip	струбцина крепления рессоры
spring fastener	пружинная скоба (зажим, замок)
spring force	создаваемое пружиной усилие
spring-loaded	подпружиненный
sprocket	звездочка
squeak	шум, скрип
stabilization	стабилизация, уравновешивание
stack	стопка, пачка, набор, комплект; укладывать в стопку, пачку
stack height	высота стопки
stacker	укладывающее устройство, приемный стол, укладчик
stacking	укладка (копий в приемном столе)
stacking the first side copies	укладка копий первой стороны (в дуплексном лотке)
stacking tray	укладочный лоток
stall	останавливать(ся), (за)стопорить(ся), застревать
stamp	штамп; штамповать, маркировать
stamp cam	обжимной кулачок (сшиватель)
stand-alone	автономный
standard paper size	стандартный формат бумаги
standard reduction persentages	стандартные процентные степени уменьшения (изображения)
standard reduction size	стандартный размер уменьшения
standard setting	стандартная настройка
standby	ожидание
standoff	отталкивание, отталкиватель
staple	скоба для сшивания, скрепка
staple cartridges	картриджи сшивателя
staple cycle	цикл сшивания
staple gauge	размер скрепки, сортамент проволоки для скрепки
staple head	головка сшивателя
staple magazine	магазин скрепок
stapler	сшиватель, степлер
stapler/folder	сшиватель-фальцовщик
stapling	сшивание (функция)
star washer	звездообразная шайба
start	запускать; начало, запуск
starter	стартер, пускатель
starting point	начальная точка
static brush	щетка для отвода электростатического заряда
static build up	накопление электростатического заряда (напр., на бумаге)
static electricity	статическое электричество
station	устройство; положение, позиция
stationary position	стационарное положение
status code	код состояния
stepper motor	шаговый двигатель
stick	рукоятка
sticking	заедание; слипание, прилипание
sticky	липкий, клейкий
stiffness	жесткость, прочность
stitch cycle	цикл сшивания
stitcher	сшиватель
stitching	прошивание, сшивание
stock	инвентарь; накопитель; исходное сырье, материал; запасать
stop	стопор; останавливать(ся)
stop plate	стопорная пластина
stop screw	стопорный винт
stop pad	стопорная подкладка
store	запоминать, хранить
stored values	хранимые в памяти значения
storage test	проверка (тест) памяти (NVM)
straight	прямой, прямолинейный; по прямой линии, прямо
straight edge	прямая кромка
straighten	выпрямлять, расправлять
stray light	побочный (посторонний) свет
streak	полоса
strike	бить, ударять
striker	ударник, боек
strip	отделять, снимать; лента, полоса
stripper finger	палец отделения
stroke	ход; перемещение; величина хода; перемещать
stroke length	длина хода
subsystem	подсистема
subtract	вычитать
sump	отстойник, поддон
superfine resolution	сверхвысокое разрешение
supersede	замена, заменять
supplemental tools	дополнительные инструменты
supplies	расходуемые материалы
supply	питание, подвод, подача; электропитание; источник (электро)питания; поставка, снабжение; подавать, подводить, питать
support	опора, стойка; крепление; опирать(ся), служить опорой, подпирать; крепить, поддерживать
support bearing	опорный подшипник
support bracket	опорный кронштейн
sure to remove	обязательно удалить (снять)
sure to stay clear of smth	обязательно поддерживать чистым что-л.
suppression	подавление (фона)
surface	поверхность
switch	выключатель, переключатель
switch connector	разъем выключателя
switch off	выключать, отключать
switch on	включать
switch circuit	схема переключении, коммутационная схема
switching ON/OFF	включение/выключение
symbol	символ, условное обозначение
symptom	симптом, признак (неисправности)
system error	системная ошибка, ошибка системы

[ T ]

tab	лапка, ушко; табулятор (разделитель)
table	таблица
table of contents	оглавление
tag	модификация; метка; обозначение; помечать; маркировать; обозначать
tag number	номер модификации
takeaway	отвод, отводной
takeaway shaft endplay	осевой люфт вала отвода
tandem	сдвоенный
tap	отвод (напр., катушки индуктивности), ответвление (напр., обмотки трансформатора)
target	мишень, цель
target value	требуемое значение (при настройке)
tear	износ, срабатывание; разрыв; изнашиваться, срабатываться; разрывать, вырывать
tearing	образование разрыва; разрыв, вырывание; изнашивание, срабатывание
tee fitting	Т-образный фитинг
teeth	зубья, зубцы; насечка (напильника)
template	шаблон; образец, эталон
temporarily	временно, на время
temporary	временное
tens	десятки
tension	натяжение; натягивать
tension idler	натяжной шкив
tensioner	натяжное устройство; натяжной шкив; механизм натяжения
tensioner pulley	натяжной шкив
terminal	концевик, клемма, вывод, контакт
terminate	завершать, прекращать
test	тест, контрольный
test data	контрольные данные
test point	контрольная точка
thermal cutcut	автоматический термовыключатель
thermal fuse	термопредохранитель
thermal trip	автоматическое термовыключение
thermistor	термистор, терморезистор
thermostat	термостат, стабилизатор температуры
thickness	толщина
threaded	снабженный резьбой, нарезанный; нитяной
throughput	пропускная способность, производительность (установки)
thumbscrew	винт с барашковой головкой; винт с накатанной головкой
thumper	ударный механизм (в системе тонера)
thumper assembly	узел ударного механизма, постукивающее устройство (на бутыли тонера)
tie bar	соединительная, стяжная балка
tie plate	соединительная пластина
tight	плотно затянутый, плотно пригнанный
tight connection	тугое (плотное) соединение
tighten	затягивать, сжимать
tilt	наклон; наклонять(ся)
tilt up	поднять кверху
timed	синхронизированный
timer	таймер
time out	простой
timing	синхронизация
toggle	переключать (изменять состояние или значение на противоположное)
tolerance	допуск
tolerance range	диапазон допусков
tone-down	уменьшить тонирование
tone-up	увеличить тонирование
tone-up cycle	цикл повышения тонирования
toner	тонер
toner bottle	бутыль с тонером, сборник тонера
toner bridging	образование "мостиков" из тонера
toner cartridge	тонер-картридж
toner catch bottle	сборник тонера
toner consumption rate	уровень расхода тонера
toner control patch	пятно контроля и управления концентрацией тонера
toner density	плотность тонера
toner deposit	налет (отложение) тонера
toner dispensing	подача (дозирование) тонера
toner disposal	удаление тонера
toner hopper	бункер тонера
toner hopper lid	крышка бункера подачи тонера
toner image	тонерное изображение
toner (mixing) paddle	лопасть (перемешивания) тонера
toner particle	частичка тонера
toner quality	качество тонера
toner removal	удаление тонера
toner sump	отстойник тонера
toner supply	подача тонера
tool	инструмент, приспособление; обрабатывать инструментом
top	верх
top-to-bottom	в направлении сверху вниз
T-slide	направляющая Т-образного сечения
torch	ручной фонарик
torn document	надорванный оригинал
toroid	тороид
torque	крутящий момент, момент закручивания
torque limiter	ограничитель закручивания
torsion spring	торсионная пружина
touch	касаться
toward(s)	к, по направлению к; по отношению к
tower	опора, мачта; башня, вышка
tracing paper	калька
traction	тяга, сила тяги, тяговое усилие; волочение; сила сцепления
trail(ing) edge	задняя кромка
transfer	перенос
transferring the image	перенос изображения (на бумагу)
transformer	трансформатор
transistor	транзистор
transit latch	транспортировочный запор
translucent film	полупрозрачная пленка
transmission	передача
transmissive sensor	пропускающий датчик, датчик прохождения (сигнала)
transparency	прозрачная пленка
transport	транспортировка; перемещение, перенос; транспортер; транспортировать, перевозить
travel	ход, величина хода, длина хода; перемещение, подача; перемещать(ся), передвигать(ся)
tray	лоток
tray capacity	емкость (вместимость) лотка
tray stop	стопор лотка
tray support	опора (суппорт) лотка
trays shift	сдвиг лотков
triac	триак
triangular plate	треугольная пластина
tree phase	трехфазное (питание)
treshold	порог
treshold value	пороговое значение
trim gap	зазор выравнивания (на бункере носителя)
trimmer bar	выравнивающая пластина, стержень выравнивания
trim plate	пластина выравнивания
tri-pulley	тройной шкив
troubleshooting	отыскание повреждений; выявление, определение (поиск) неисправностей
tube	труба, трубка; электронная лампа
tube shaft	полый (трубчатый) вал
turn	оборот, поворот; поворотный; поворачивать(ся)
turn around	поворотный, поворачивать вокруг
turn over	переворачивать
twisted wire pair	пара скрученных проводов
two-digit status code	двухзначный цифровой код состояния
two-phase power	двухфазное питание
two-roll magnetic brush system	двухроликовая система магнитной щетки
two-sided	двусторонний
type	тип

[ U ]

uncollated	неподобранные
underside	нижняя сторона
undock	отстыковывать
uneven	неровный, неравномерный, неоднородный
unfold	развертывать, расстилать; раскрывать, открывать; раскрываться, развиваться
unfused	незакрепленный
unlatch	отпирать
unit	узел, блок; единица
up	вверх, вверху; подъем
update	обновление (значения, информации); модернизация; исправление, корректировка; обновлять, усовершенствовать; исправлять
up direction	направление вверх
upgrade	повышение качества; расширение возможностей; повышать качество; корректировать
up limit switch	предельный выключатель верхнего положения (подъема)
up position	верхнее положение
upper	верхний
upright	вертикальный, прямой
upright position	вертикальное положение
up-to-date	современный, новейший
upward movement	движение вверх
usage	частота использования, используемость
user	пользователь
User Guide	руководство для пользователя

[ V ]

vacuum	вакуум
vacuum cleaner	пылесос
vacuum duct	вакуумная труба, вакуумный канал
valve	клапан
value	значение, величина
value of the signal	значение сигнала
variable contrast	изменяемая контрастность
variable reduction	изменяемое уменьшение
variable response time	изменяемое время срабатывания
variation of reading	изменение показаний
velocity	скорость
ventilation	вентиляция, воздушное охлаждение
vent plug	вентиляционная заглушка (пробка)
version	вариант, версия
very light copy	очень бледная копия
vibration	вибрация, колебания
view	вид; изображение; представление
violet (VIO)	фиолетовый
visible image	видимое изображение
visual check	визуальная проверка
V-notch	V-образный надрез (канавка, метка)
void	делать недействительным, аннулировать; сводить на нет, уничтожать
volatile memory	энергозависимая память, память с разрушением информации при выключении питания
voltage	напряжение
voltmeter	вольтметр

[ W ]

wait sensor	датчик ожидания
wait station	позиция ожидания
wall outlet	стенная розетка питания
warning	предупреждение
warm	прогрев, нагрев; нагревать(ся), прогревать(ся)
warming-up	прогрев, прогревание
warm-up time	время прогрева
warp	коробление, искривление, перекос; искривляться, перекашиваться
warranty	гарантия, гарантийный
washer	шайба, прокладка
waste toner	отходы тонера, отработанный тонер
waste toner bottle	сборник отработанного тонера
watchdog	слежение
weaken	ослаблять
weakening	ослабление; ослабевающий; ослабляющий
weakness	непрочность; слабость
wear	износ
wear marks	следы износа
weight	вес, плотность (бумаги)
weighted	нагруженный; взвешенный
wheel	колесо; маховик; ролик; шкив; поворачивать(ся), вращать(ся)
white (WHT)	белый
white spots	белые пятна (дефект качества копии)
white spot deletions	пропуски (изображения) в виде белых пятен (дефект качества копии)
wick	фитиль
wick pan	поддон фитиля
wick spacer	распорная деталь фитиля
width	ширина
width adjust	настройка, регулировка по ширине
winding	обмотка
window	окно, окошко
wipe	вытирать, протирать
wire	провод, проволока
wiring	электропроводка
wiring diagram	диаграмма прокладки электропроводов; электрическая схема, коммутационная схема
with	с (чем-л.)
without	без (чего-л.)
with reference to	относительно, ссылаясь на
working	работа, действие (механизма); обработка; работающий, рабочий
work surface	рабочая поверхность
worn	истертый, изношенный
wrinkled paper	измятая (сморщенная) бумага

[ X ]

xerographic	ксерографический
xerographic components	элементы ксерографической системы
xerographic control	управление ксерографией

[ Y ]

yellow (YEL)	желтый
yield	производительность, расход
yoke	хомут, серьга, скоба, вилка

[ Z ]

zero crossing detector	детектор пересечения нуля
zero offset adjustment	регулировка нулевого смещения
zone	зона, область
